ID;Host Since;Host Response Rate;Neighbourhood Cleansed;Neighbourhood Group Cleansed;City;Zipcode;Country;Latitude;Longitude;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Price;Security Deposit;Cleaning Fee;Number of Reviews;Review Scores Rating;Calculated host listings count
11914436;19/3/16;100;Hackney;;London;E8 3DQ;United Kingdom;5.153.898.432.298.630;-0.05878074392247095;Apartment;Entire home/apt;4;1.0;2;2;Real Bed;110;300;40;5;100;1
13733410;22/12/15;;Prospect-Lefferts Gardens;Brooklyn;New York;11225;United States;4.066.034.016.594.680;-7.396.120.815.335.450;Apartment;Private room;2;1.0;1;1;Real Bed;38;;;1;100;1
4742893;10/1/12;;Cleveland Heights;;Oakland;94610;United States;37.808.046.563.363.100;-1.222.480.397.807.490;Apartment;Entire home/apt;3;1.0;1;1;Real Bed;200;150;80;2;90;1
353801;20/1/11;100;Williamsburg;Brooklyn;Brooklyn;11206;United States;4.070.528.201.952.200;-7.394.172.218.489.780;Apartment;Private room;2;1.0;1;1;Real Bed;75;200;80;39;97;3
2145759;9/7/12;0;Upper East Side;Manhattan;New York;10065;United States;4.076.141.414.180.310;-7.396.272.851.247.630;Apartment;Private room;1;1.0;1;1;Real Bed;69;95;;43;98;2
11581438;23/7/11;100;De Pijp - Rivierenbuurt;;Amsterdam;1078 XE;Netherlands;5.234.391.745.707.280;4.895.344.889.166.400;Apartment;Private room;2;1.0;1;2;Real Bed;115;150;;2;100;2
1010056;21/3/13;100;Centrum-Oost;;Amsterdam;1011 VH;Netherlands;52.371.131.185.642.500;4.909.833.926.781.320;Apartment;Entire home/apt;2;1.0;1;1;Real Bed;165;100;50;103;98;1
18581244;14/4/15;100;Sint-Andries;;Antwerpen;2000;Belgium;51.216.369.496.219.500;439.958.936.788.863;Apartment;Shared room;2;1.0;1;1;Real Bed;52;;;0;;1
16105736;12/1/16;99;la Sagrada Família;Eixample;Barcelona;8025;Spain;4.140.454.783.231.200;2.173.328.567.007.210;Apartment;Entire home/apt;4;1.0;1;1;Real Bed;100;;;2;80;92
17250344;14/11/11;90;Saint-Gilles;;Saint-Gilles;1060;Belgium;5.082.394.371.999.100;4.347.200.501.525.200;House;Private room;2;2.0;1;1;Real Bed;31;;10;6;77;1
10946235;15/6/14;;Frankfurter Allee Süd FK;Friedrichshain-Kreuzberg;Berlin;10247;Germany;52.510.807.607.963.500;13.472.654.025.821.500;Apartment;Entire home/apt;4;1.0;1;2;Real Bed;60;;;11;93;1
12768616;12/1/16;99;el Barri Gòtic;Ciutat Vella;Barcelona;8002;Spain;4.138.388.728.217.300;21.718.023.278.462.600;Apartment;Entire home/apt;2;1.0;0;1;Real Bed;349;;;0;;92
4539828;28/8/12;99;la Dreta de l'Eixample;Eixample;Barcelona;8007;Spain;4.138.846.723.488.760;2.168.451.317.681.590;Apartment;Entire home/apt;5;1.0;2;2;Real Bed;129;200;75;89;94;11
1139069;21/11/12;98;les Corts;Les Corts;Barcelona;8028;Spain;4.138.502.335.249.910;2.132.222.666.338.250;Apartment;Entire home/apt;4;1.0;2;3;Real Bed;100;;35;29;92;14
15447205;12/1/16;99;la Sagrada Família;Eixample;Barcelona;8025;Spain;4.140.500.598.915.080;21.733.691.063.836.700;Apartment;Entire home/apt;6;1.0;2;3;Real Bed;89;;;5;100;92
11055393;31/12/15;;el Camp d'en Grassot i Gràcia Nova;Gràcia;Barcelona;;Spain;41.410.779.695.745.000;21.610.669.240.843.300;Apartment;Private room;2;1.5;1;1;Real Bed;20;;;0;;1
13070515;19/5/12;100;el Camp d'en Grassot i Gràcia Nova;Gràcia;Barcelona;8024;Spain;4.141.162.122.430.720;21.613.347.591.958.600;Apartment;Private room;1;1.0;1;1;Real Bed;26;150;15;10;94;3
6799780;15/9/13;;Lambeth;;London;SW2 5JP;United Kingdom;5.146.025.094.801.740;-0.12452237474269391;Apartment;Private room;1;1.0;1;1;Real Bed;50;;;1;80;1
6835388;14/6/15;100;Wandsworth;;London;SW17 0GU;United Kingdom;5.142.384.555.614.650;-0.17289394290466045;Apartment;Entire home/apt;4;2.0;2;2;Real Bed;95;600;100;0;;1
12733895;9/10/12;100;Islington;;London;N1 1DN;United Kingdom;5.154.221.185.550.890;-0.11649556245196172;Apartment;Private room;1;1.0;1;1;Real Bed;60;;20;0;;2
15260915;31/3/16;100;Santa Monica;;Santa Monica;90403;United States;3.402.537.266.869.720;-11.849.795.378.948.100;Condominium;Shared room;1;1.0;1;1;Couch;49;;18;9;100;1
3842573;28/2/14;98;Hollywood;;Los Angeles;90028;United States;3.410.373.137.300.820;-11.833.272.576.325.600;Apartment;Entire home/apt;6;2.0;2;3;Real Bed;198;;25;158;96;7
